what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1530392832615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392835555
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392854644
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392861135
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392861370
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530392861376
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1530392861638
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392861688
error,log,,,"Errors occurred during the build.",1530392861861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392878601
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392881517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392903204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392914629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392920026
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1530392920079
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392920565
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392944370
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530392948410
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.stop",1530392950931
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530392954147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392957792
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530392961208
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1530392961280
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393006305
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393010529
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1530393010574
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393015299
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393102036
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393102926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393307185
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393315811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393490477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393492127
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393918666
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1530393919801
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1530393921014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530393921950
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530393922173
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530393922367
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530393922495
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530393924874
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530394066217
